//Organisationsbeschreibung DVP (Datenaustausch mit Vertragspartner) V3.5 vom 01/2017
//https://www.sozialversicherung.at/cdscontent/load?contentid=10008.637649&version=1494499223 (Seite 65)

// Frage: Ist Trennung nach Landesstelle notwendig? (Seite 51)
01;Pensionsversicherungsanstalt der Angestellten;31.12.2024
02;Pensionsversicherungsanstalt der Arbeiter;31.12.2024
03;Sozialversicherungsanstalt der Bauern (UV);31.12.2024
04;Versicherungsanstalt des österreichischen Bergbaues;31.12.2024
05;Versicherungsanstalt der österreichischen Eisenbahnen;31.12.2024
06;Versicherungsanstalt des österreichischen Notariates;31.12.2024
07;Versicherungsanstalt öffentlich Bediensteter (BVA);31.12.2024
08;Allgemeine Unfallversicherungsanstalt (allgemein);31.12.2024
11;Gebietskrankenkasse Wien;31.12.2024
12;Gebietskrankenkasse Niederösterreich;31.12.2024
13;Gebietskrankenkasse Burgenland;31.12.2024
14;Gebietskrankenkasse Oberösterreich;31.12.2024
15;Gebietskrankenkasse Steiermark;31.12.2024
16;Gebietskrankenkasse Kärnten;31.12.2024
17;Gebietskrankenkasse Salzburg;31.12.2024
18;Gebietskrankenkasse Tirol;31.12.2024
19;Gebietskrankenkasse Vorarlberg;31.12.2024
1A;Krankenfürsorgeanstalt der Bediensteten der Stadt Wien;31.12.2024
1P;Post- und Telegraphenverwaltung;31.12.2024
20;Betriebskrankenkasse der Österreichischen Staatsdruckerei;31.12.2024
21;Betriebskrankenkasse der Austria Tabakwerke AG;31.12.2024
22;Betriebskrankenkasse der Wiener Verkehrsbetriebe;31.12.2024
23;Betriebskrankenkasse der Semperit AG;31.12.2024
24;Betriesbkrankenkasse der Neusiedler AG für Papierfabrikation;31.12.2024
25;Betriebskrankenkasse der Hütte Donawitz der VOEST Alpine AG;31.12.2024
26;Betriebskrankenkasse des Werkes Zeltweg der VOEST Alpine AG;31.12.2024
27;Betriebskrankenkasse des Werkes Kindberg der VOEST Alpine AG;31.12.2024
28;Betriebskrankenkasse für die Betriebe Kapfenberg der Firma B;31.12.2024
29;Betriebskrankenkasse der Firma Johann Pengg;31.12.2024
31;ehemalige Landwirtschaftskrankenkasse Wien;31.12.2024
32;ehemalige Landwirtschaftskrankenkasse Niederösterreich;31.12.2024
33;ehemalige Landwirtschaftskrankenkasse Burgenland;31.12.2024
34;ehemalige Landwirtschaftskrankenkasse Oberösterreich;31.12.2024
35;ehemalige Landwirtschaftskrankenkasse Steiermark;31.12.2024
36;ehemalige Landwirtschaftskrankenkasse Kärnten;31.12.2024
37;ehemalige Landwirtschaftskrankenkasse Salzburg;31.12.2024
38;ehemalige Landwirtschaftskrankenkasse Tirol;31.12.2024
39;ehemalige Landwirtschaftskrankenkasse Vorarlberg;31.12.2024
40;Sozialversicherungsanstalt der gewerblichen Wirtschaft (Hauptstelle);31.12.2024
41;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Wien;31.12.2024
42;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Niederösterreich;31.12.2024
43;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Burgenland;31.12.2024
44;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Oberösterreich;31.12.2024
45;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Steiermark;31.12.2024
46;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Kärnten;31.12.2024
47;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Salzburg;31.12.2024
48;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Tirol;31.12.2024
49;Sozialversicherungsanstalt der gewerbl. Wirtschaft - Vorarlberg;31.12.2024
4A;Krankenfürsorgeanstalt des Magistrates der Landeshauptstadt;31.12.2024
4B;Krankenfürsorge für oberösterreichische Gemeindebeamte;31.12.2024
4C;Krankenfürsorge für oberösterreichische Landesbeamte;31.12.2024
4E;Krankenfürsorgeanstalt der Beamten des Magistrates Steyr;31.12.2024
4F;Krankenfürsoge für die Beamten der Stadt Wels;31.12.2024
50;Sozialversicherungsanstalt der Bauern (PV);31.12.2024
51;Sozialversicherungsanstalt der Bauern Landesstelle Wien;31.12.2024
52;Sozialversicherungsanstalt der Bauern Landesstelle Niederösterreich;31.12.2024
53;Sozialversicherungsanstalt der Bauern Landesstelle Burgenland;31.12.2024
54;Sozialversicherungsanstalt der Bauern Landesstelle Oberösterreich;31.12.2024
55;Sozialversicherungsanstalt der Bauern Landesstelle Steiermark;31.12.2024
